Date,Open,High,Low,Close,Adj Close,Volume,Dollar
23-06-2016,211.125046,211.818802,209.756302,211.387558,205.458572,1790002,66.46
24-06-2016,207.468796,209.156296,205.237549,208.181305,202.342239,3605031,66.46
27-06-2016,208.106308,208.106308,205.200058,205.500046,199.736191,2842505,66.46
28-06-2016,204.356308,205.031296,202.968796,203.400055,197.695099,2647916,66.46
29-06-2016,204.150055,208.875046,203.250046,207.956299,202.12352,2496927,66.46
30-06-2016,209.137558,210.806305,208.143799,209.231308,203.362793,3892615,66.46
01-07-2016,209.906296,211.875046,208.893799,209.587555,203.709061,1436471,66.46
04-07-2016,210.750046,211.875046,210.000046,210.637558,204.729599,2652508,66.46
05-07-2016,210.618805,213.375046,208.518799,211.856308,205.914169,2415735,66.46
07-07-2016,212.625046,212.981308,209.081299,209.850052,203.964157,3807009,66.46
08-07-2016,209.850052,211.293808,208.143799,210.618805,204.71138,2324188,66.46
11-07-2016,211.875046,214.125046,210.993805,213.318802,207.705429,2754551,66.46
12-07-2016,212.437546,214.462555,211.875046,214.050049,208.417435,1749450,66.46
13-07-2016,215.212555,216.675049,213.675049,215.231308,209.567642,2819191,66.46
14-07-2016,213.581299,215.231308,212.062546,213.975052,208.344421,1356988,66.46
15-07-2016,213.712555,215.587555,207.450058,207.937546,202.465775,9140101,66.46
18-07-2016,207.562546,207.731308,204.300049,206.981308,201.534729,4392393,66.46
19-07-2016,204.375046,207.656296,204.000046,205.968796,200.548859,7438840,66.46
20-07-2016,194.250046,202.968796,194.250046,202.068802,196.751495,25388649,66.46
21-07-2016,202.087555,204.300049,202.087555,203.250046,197.901642,3851740,66.46
22-07-2016,202.500046,202.875046,200.625046,201.656296,196.349823,3665012,66.46
25-07-2016,201.637543,203.887543,200.625046,203.568802,198.212021,1954271,66.46
26-07-2016,203.250046,206.531296,202.856293,204.787552,199.398666,4376102,66.46
27-07-2016,204.787552,207.281296,203.456299,205.931305,200.51236,3767543,66.46
28-07-2016,205.237549,208.781296,204.000046,207.675049,202.21022,3063732,66.46
29-07-2016,207.112549,207.375046,203.493805,204.393799,199.015305,3717561,66.46
01-08-2016,204.393799,210.656296,204.375046,209.137558,203.634232,6061851,66.46
02-08-2016,209.250046,209.625046,205.500046,206.100052,200.676651,3108164,66.46
03-08-2016,205.500046,208.181305,205.050049,205.481308,200.074203,3851959,66.46
04-08-2016,205.425049,207.000046,204.506302,205.575058,200.165466,3066052,66.46
05-08-2016,204.731308,207.187546,204.600052,205.200058,199.800354,1554311,66.46
08-08-2016,204.843796,207.318802,204.843796,205.875046,200.457565,2734255,66.46
09-08-2016,205.387558,207.187546,204.862549,206.756302,201.315628,2338458,66.46
10-08-2016,206.250046,206.625046,202.518799,203.493805,198.138992,1684887,66.46
11-08-2016,202.837555,205.331299,202.500046,203.625046,198.266785,1332802,66.46
12-08-2016,202.687546,206.062546,202.687546,203.906296,198.540649,2081735,66.46
16-08-2016,203.906296,204.750046,200.550049,201.187546,195.893417,2469532,66.46
17-08-2016,201.262543,201.806305,197.475052,197.925049,192.716766,2650228,66.46
18-08-2016,198.731293,198.768799,196.200043,196.912552,191.730927,2425866,66.46
19-08-2016,197.587555,198.675049,194.643799,195.037552,189.905258,2751892,66.46
22-08-2016,194.250046,195.000046,192.937546,193.312546,188.225647,2711428,66.46
23-08-2016,193.218796,195.187546,193.125046,194.850052,189.722702,3078009,66.46
24-08-2016,195.037552,195.750046,193.893799,194.868805,189.740952,2793567,66.46
25-08-2016,195.375046,195.468796,188.343796,189.000046,184.026642,12899031,66.46
26-08-2016,189.000046,189.768799,183.000046,183.750046,178.914764,8849285,66.46
29-08-2016,184.125046,184.331299,178.912537,179.550049,174.825302,13588332,66.46
30-08-2016,179.58754,183.918793,179.30629,183.543793,178.713943,12082786,66.46
31-08-2016,184.425049,186.000046,182.343796,184.36879,179.517227,7496072,66.46
01-09-2016,183.637543,183.637543,180.562546,181.481293,176.705719,5302436,66.46
02-09-2016,181.500046,182.081299,179.737549,181.350052,176.577927,4305604,66.46
06-09-2016,181.875046,182.02504,180.000046,181.08754,176.322342,4245526,66.46
07-09-2016,182.925049,183.656296,180.018799,180.656296,175.902435,5726531,66.46
08-09-2016,178.875046,179.86879,176.325043,177.731293,173.054398,5945929,66.46
09-09-2016,179.100037,181.125046,177.862549,180.24379,175.500778,5056553,66.46
12-09-2016,178.050049,181.27504,177.05629,180.15004,175.409485,5034214,66.46
14-09-2016,181.687546,181.856293,178.443787,179.268799,174.551453,4913193,66.46
15-09-2016,179.925049,179.925049,177.843796,179.418793,174.697479,4838990,66.46
16-09-2016,180.487549,180.862549,179.250046,179.77504,175.044373,6162142,66.46
19-09-2016,180.000046,180.731293,178.575043,179.981293,175.245209,5649961,66.46
20-09-2016,180.937546,180.937546,179.287537,180.393799,175.646835,2914660,66.46
21-09-2016,181.106293,181.687546,180.093796,181.443802,176.66922,4334308,66.46
22-09-2016,181.875046,181.950043,179.850037,180.656296,175.902435,3816516,66.46
23-09-2016,181.218796,181.387543,179.643799,180.075043,175.336472,6150441,66.46
26-09-2016,180.15004,180.375046,178.537537,179.737549,175.007874,5969619,66.46
27-09-2016,180.131302,181.875046,179.625046,181.575043,176.797012,4939142,66.46
28-09-2016,181.65004,181.762543,180.131302,181.387543,176.614441,2122514,66.46
29-09-2016,181.387543,181.481293,176.250046,177.075043,172.41539,13175538,66.46
30-09-2016,177.375046,180.000046,177.375046,179.606293,174.880051,5608486,66.46
03-10-2016,180.000046,180.037552,177.862549,179.606293,174.880051,2668343,66.46
04-10-2016,179.625046,181.856293,179.625046,180.675049,175.920685,3547988,66.46
05-10-2016,180.675049,181.18129,178.74379,179.831299,175.099152,3769183,66.46
06-10-2016,180.000046,180.225052,178.893799,179.250046,174.533188,3698007,66.46
07-10-2016,179.250046,179.887543,178.350037,178.856293,174.14978,2783148,66.46
10-10-2016,178.950043,179.906296,178.537537,178.875046,174.16806,1769002,66.46
13-10-2016,178.875046,179.625046,177.90004,179.343796,174.624481,3664679,66.46
14-10-2016,179.175049,180.450043,177.862549,178.125046,173.43779,3442097,66.46
17-10-2016,178.143799,178.36879,176.850037,177.05629,172.397141,4149196,66.46
18-10-2016,177.412537,181.537552,177.375046,181.031296,176.267578,2900671,66.46
19-10-2016,181.875046,186.33754,181.406296,185.625046,180.740417,6189318,66.46
20-10-2016,186.71254,187.93129,184.575043,185.77504,180.88649,3126191,66.46
21-10-2016,187.443802,187.875046,184.987549,187.200043,182.273987,5308580,66.46
24-10-2016,183.750046,183.750046,179.100037,181.481293,176.705719,9289723,66.46
25-10-2016,181.500046,181.725052,179.700043,180.52504,175.774628,9299624,66.46
26-10-2016,180.281296,180.281296,176.456299,176.831299,172.178085,3664695,66.46
27-10-2016,176.737549,177.61879,172.500046,173.137543,168.581543,5021414,66.46
28-10-2016,173.137543,174.90004,170.287537,173.287537,168.727585,6160123,66.46
01-11-2016,174.393799,174.918793,172.500046,172.781296,168.23465,1893362,66.46
02-11-2016,171.637543,172.818787,169.65004,171.71254,167.194016,3761815,66.46
03-11-2016,171.750046,172.481293,167.268784,167.850037,163.433167,4026988,66.46
04-11-2016,167.906296,170.156296,166.575043,169.687546,165.222321,3273724,66.46
